Wafer,Band,Row,Col,Width_nm,ER_dB,IL_dB,Vpi_V,FSR_nm,dlam_dV_pm_per_V,is_outlier_ER_dB,robust_z_ER_dB,is_outlier_IL_dB,robust_z_IL_dB,is_outlier_Vpi_V,robust_z_Vpi_V,is_trusted
D07,C,-4,-1,450,34.371,-10.923,32.63,14.2551,-218.4,False,-2.44,False,-0.97,True,-3.82,False
D07,C,-3,-3,450,39.212,-9.741,35.35,14.2148,-201.05,False,2.21,False,0.69,False,0.82,True
D07,C,-3,0,450,32.319,-9.875,36.11,14.1636,-196.1,True,-4.41,False,0.51,False,2.12,False
D07,C,-3,2,450,36.622,-12.361,34.56,14.3791,-208.04,False,-0.28,False,-2.98,False,-0.53,True
D07,C,-1,-3,450,38.416,-9.987,34.91,14.344,-205.43,False,1.45,False,0.35,False,0.07,True
D07,C,-1,-1,450,36.058,-10.028,34.86,14.272,-204.71,False,-0.82,False,0.29,False,-0.02,True
D07,C,-1,3,450,36.881,-10.702,31.31,14.2248,-227.18,False,-0.03,False,-0.66,True,-6.08,False
D07,C,0,-4,450,37.846,-11.385,34.44,14.1879,-205.98,False,0.9,False,-1.61,False,-0.73,True
D07,C,0,0,450,37.461,-10.471,35.47,14.2603,-201.0,False,0.53,False,-0.33,False,1.02,True
D07,C,0,2,450,36.939,-9.158,34.99,14.5205,-207.5,False,0.03,False,1.51,False,0.2,True
D07,C,2,-3,450,40.336,-10.869,35.07,14.2345,-202.94,True,3.29,False,-0.89,False,0.34,False
D07,C,2,-1,450,37.159,-9.427,29.68,14.499,-244.24,False,0.24,False,1.13,True,-8.86,False
D07,C,2,2,450,36.866,-10.442,34.88,14.316,-205.23,False,-0.04,False,-0.29,False,0.02,True
D07,C,3,0,450,36.389,-9.808,34.51,14.4734,-209.72,False,-0.5,False,0.6,False,-0.61,True
D08,C,-4,-1,450,36.843,-9.738,32.32,14.221,-220.01,False,0.15,False,0.71,False,-1.34,True
D08,C,-3,-3,450,37.06,-9.853,32.69,14.3109,-218.92,False,0.55,False,0.56,False,-1.08,True
D08,C,-3,0,450,36.589,-10.323,34.18,14.2406,-208.32,False,-0.33,False,-0.06,False,-0.02,True
D08,C,-3,2,450,36.687,-12.083,31.92,14.1821,-222.17,False,-0.15,False,-2.39,False,-1.62,True
D08,C,-1,-3,450,35.932,-10.292,32.08,14.3754,-224.07,False,-1.57,False,-0.02,False,-1.51,True
D08,C,-1,-1,450,35.448,-9.162,37.23,14.2729,-191.68,False,-2.47,False,1.48,False,2.13,True
D08,C,-1,3,450,37.013,-10.763,34.98,14.162,-202.41,False,0.47,False,-0.64,False,0.54,True
D08,C,0,-4,450,39.026,-12.481,36.13,14.3905,-199.12,True,4.25,False,-2.92,False,1.35,False
D08,C,0,0,450,37.349,-9.8,33.14,14.2229,-214.56,False,1.1,False,0.63,False,-0.76,True
D08,C,0,2,450,36.498,-9.744,34.82,14.2086,-204.04,False,-0.5,False,0.71,False,0.43,True
D08,C,2,-3,450,38.493,-11.849,35.05,14.2468,-203.22,True,3.25,False,-2.08,False,0.59,False
D08,C,2,-1,450,36.384,-9.867,33.45,14.1746,-211.9,False,-0.72,False,0.54,False,-0.54,True
D08,C,2,2,450,36.088,-11.982,34.25,14.2355,-207.84,False,-1.27,False,-2.26,False,0.02,True
D08,C,3,0,450,37.102,-10.264,34.38,14.2148,-206.71,False,0.63,False,0.02,False,0.12,True
D08,O,-4,-1,380,29.897,-8.174,26.78,9.6555,-180.3,False,-2.18,False,-0.43,False,-0.81,True
D08,O,-3,-3,380,30.202,-9.367,29.32,9.7811,-166.8,False,-1.86,False,-1.27,False,0.94,True
D08,O,-3,0,380,31.749,-8.149,29.5,9.8193,-166.41,False,-0.21,False,-0.41,False,1.06,True
D08,O,-3,2,380,32.285,-8.518,26.46,9.8762,-186.65,False,0.37,False,-0.67,False,-1.03,True
